date,datavisualisering,infografikk,interaksjon,"data mapping","data historier","data journalistikk",d3js,tabl̴
2015-05-28,0,0,0,0,0,0,0,0
2015-05-29,0,0,0,0,0,0,0,0
2015-05-30,0,0,0,0,0,0,0,0
2015-05-31,0,0,0,0,0,0,0,0
2015-06-01,0,0,0,0,0,0,0,0
2015-06-02,0,0,0,0,0,0,0,0
2015-06-03,0,0,0,0,0,0,0,0
2015-06-04,0,0,0,0,0,0,0,0
2015-06-05,0,0,0,0,0,0,0,0
2015-06-06,0,0,0,0,0,0,0,0
2015-06-07,0,0,0,0,0,0,0,0
2015-06-08,0,0,0,0,0,0,0,0
2015-06-09,0,0,0,0,0,0,0,0
2015-06-10,0,0,0,0,0,0,0,0
2015-06-11,0,0,2,0,0,0,0,0
2015-06-12,0,0,2,0,0,0,0,0
2015-06-13,0,0,2,0,0,0,0,0
2015-06-14,0,0,2,0,0,0,0,0
2015-06-15,0,0,2,0,0,0,0,0
2015-06-16,0,0,0,0,0,0,0,0
2015-06-17,0,0,0,0,0,0,0,0
2015-06-18,0,0,0,0,0,0,0,0
2015-06-19,0,0,0,0,0,0,0,0
